County,2000,2001,2002,2003,2004,sum
KY:_McCreary_County,2,0,0,1,1,4
KY:_McLean_County,0,0,0,1,1,2
KY:_Madison_County,3,3,5,3,3,17
KY:_Magoffin_County,2,0,1,2,1,6
KY:_Marion_County,1,2,2,0,1,6
KY:_Marshall_County,1,1,1,1,1,5
KY:_Martin_County,1,0,1,0,0,2
KY:_Mason_County,2,3,0,4,1,10
KY:_Meade_County,0,2,3,1,0,6
KY:_Menifee_County,1,1,0,0,1,3
KY:_Mercer_County,3,0,1,3,3,10
KY:_Metcalfe_County,0,0,3,0,0,3
KY:_Monroe_County,0,1,2,0,0,3
KY:_Montgomery_County,2,1,0,0,1,4
KY:_Morgan_County,2,0,0,1,1,4
KY:_Muhlenberg_County,1,4,3,4,2,14
KY:_Nelson_County,6,1,3,5,3,18
KY:_Nicholas_County,0,1,1,0,1,3
KY:_Ohio_County,2,2,2,0,3,9
KY:_Oldham_County,5,1,5,3,4,18
KY:_Owen_County,1,1,0,0,1,3
KY:_Owsley_County,0,0,0,0,0,0
KY:_Pendleton_County,1,0,3,1,0,5
KY:_Perry_County,0,0,4,2,3,9
KY:_Pike_County,1,3,3,2,9,18
KY:_Powell_County,0,0,0,1,1,2
KY:_Pulaski_County,7,3,3,5,3,21
KY:_Robertson_County,0,0,0,0,0,0
KY:_Rockcastle_County,0,0,2,0,1,3
KY:_Rowan_County,0,0,0,1,1,2
KY:_Russell_County,0,1,0,0,0,1
KY:_Scott_County,2,2,1,3,0,8
KY:_Shelby_County,1,0,1,5,2,9
KY:_Simpson_County,1,0,0,3,0,4
KY:_Spencer_County,0,0,1,1,2,4
KY:_Taylor_County,2,2,2,1,3,10
KY:_Todd_County,1,0,0,0,2,3
KY:_Trigg_County,2,1,2,0,0,5
KY:_Trimble_County,1,1,1,0,2,5
KY:_Union_County,0,0,0,0,2,2
KY:_Warren_County,3,6,1,13,7,30
KY:_Washington_County,0,1,1,0,2,4
KY:_Wayne_County,2,2,1,2,1,8
KY:_Webster_County,1,0,1,2,4,8
KY:_Whitley_County,1,1,4,1,5,12
KY:_Wolfe_County,0,0,0,0,0,0
KY:_Woodford_County,3,1,2,2,1,9
LA:_Acadia_Parish,6,4,1,2,0,13
LA:_Allen_Parish,0,2,2,2,0,6
LA:_Ascension_Parish,5,8,2,6,1,22
LA:_Assumption_Parish,3,0,0,0,1,4
LA:_Avoyelles_Parish,0,1,0,2,3,6
LA:_Beauregard_Parish,1,2,6,0,1,10
LA:_Bienville_Parish,3,3,0,2,2,10
LA:_Bossier_Parish,3,2,3,3,2,13
LA:_Caddo_Parish,7,13,19,20,10,69
LA:_Calcasieu_Parish,7,10,9,11,9,46
LA:_Caldwell_Parish,1,1,0,1,0,3
LA:_Cameron_Parish,1,0,2,1,0,4
LA:_Catahoula_Parish,0,0,0,0,1,1
LA:_Claiborne_Parish,2,1,0,0,1,4
LA:_Concordia_Parish,0,2,1,0,0,3
LA:_De_Soto_Parish,0,0,3,1,2,6
LA:_East_Baton_Rouge_Parish,24,26,13,31,18,112
LA:_East_Carroll_Parish,0,0,0,0,1,1
LA:_East_Feliciana_Parish,0,2,0,1,0,3
LA:_Evangeline_Parish,2,3,0,1,0,6
LA:_Franklin_Parish,1,2,1,2,1,7
LA:_Grant_Parish,0,2,0,2,3,7
LA:_Iberia_Parish,2,1,3,4,7,17
LA:_Iberville_Parish,1,1,1,2,3,8
LA:_Jackson_Parish,2,0,0,3,2,7
LA:_Jefferson_Parish,28,23,28,23,25,127
LA:_Jefferson_Davis_Parish,1,0,2,1,0,4
LA:_Lafayette_Parish,8,2,9,10,9,38
LA:_Lafourche_Parish,8,7,7,5,7,34
LA:_La_Salle_Parish,1,0,3,2,2,8
LA:_Lincoln_Parish,2,2,2,2,1,9
LA:_Livingston_Parish,5,8,6,5,17,41
LA:_Madison_Parish,2,0,0,1,0,3
LA:_Morehouse_Parish,3,3,4,1,1,12
LA:_Natchitoches_Parish,7,1,1,3,0,12
LA:_Orleans_Parish,17,18,23,23,19,100
LA:_Ouachita_Parish,5,19,6,16,7,53
LA:_Plaquemines_Parish,1,1,1,1,1,5
LA:_Pointe_Coupee_Parish,1,2,2,0,0,5
LA:_Rapides_Parish,16,8,12,7,14,57
LA:_Red_River_Parish,1,2,0,0,2,5
LA:_Richland_Parish,1,2,0,0,0,3
LA:_Sabine_Parish,0,1,1,2,1,5
LA:_St_Bernard_Parish,5,2,3,5,2,17
LA:_St_Charles_Parish,4,6,4,3,3,20
LA:_St_Helena_Parish,0,0,1,2,0,3
LA:_St_James_Parish,0,0,1,0,1,2
LA:_St_John_the_Baptist_Parish,2,2,3,1,0,8
LA:_St_Landry_Parish,9,4,1,7,8,29
LA:_St_Martin_Parish,5,1,2,1,5,14
LA:_St_Mary_Parish,2,3,4,2,6,17
LA:_St_Tammany_Parish,11,10,6,10,10,47
LA:_Tangipahoa_Parish,7,8,4,9,9,37
LA:_Tensas_Parish,1,1,1,0,0,3
LA:_Terrebonne_Parish,11,5,6,8,7,37
LA:_Union_Parish,4,1,2,3,0,10
LA:_Vermilion_Parish,2,2,5,9,5,23
LA:_Vernon_Parish,1,4,4,1,2,12
LA:_Washington_Parish,6,3,2,3,2,16
LA:_Webster_Parish,1,2,0,1,6,10
LA:_West_Baton_Rouge_Parish,2,1,1,1,1,6
LA:_West_Carroll_Parish,0,1,1,2,0,4
LA:_West_Feliciana_Parish,1,1,1,0,2,5
LA:_Winn_Parish,1,1,2,3,1,8
MA:_Barnstable_County,20,25,23,25,21,114
MA:_Berkshire_County,10,9,9,15,13,56
MA:_Bristol_County,56,39,41,36,38,210
MA:_Dukes_County,1,2,0,1,0,4
MA:_Essex_County,66,52,50,60,61,289
MA:_Franklin_County,5,3,4,4,4,20
MA:_Hampden_County,33,29,26,30,29,147
MA:_Hampshire_County,9,14,6,11,6,46
MA:_Middlesex_County,117,98,99,92,118,524
MA:_Nantucket_County,0,3,0,1,2,6
MA:_Norfolk_County,48,49,44,50,54,245
MA:_Plymouth_County,43,40,40,40,34,197
MA:_Suffolk_County,39,35,40,37,22,173
MA:_Worcester_County,50,42,52,51,44,239
NJ:_Atlantic_County,23,22,20,17,25,107
NJ:_Bergen_County,71,74,56,75,71,347
NJ:_Burlington_County,24,28,25,29,27,133
NJ:_Camden_County,30,39,32,42,26,169
NJ:_Cape_May_County,11,10,8,10,10,49
NJ:_Cumberland_County,17,5,9,13,10,54
NJ:_Essex_County,42,51,41,41,31,206
NJ:_Gloucester_County,14,20,22,13,14,83
NJ:_Hudson_County,31,37,40,27,37,172
NJ:_Hunterdon_County,7,9,3,18,12,49
NJ:_Mercer_County,25,28,25,26,22,126
NJ:_Middlesex_County,49,34,42,51,73,249
NJ:_Monmouth_County,54,32,39,45,51,221
NJ:_Morris_County,32,29,42,40,34,177
NJ:_Ocean_County,37,48,51,45,58,239
NJ:_Passaic_County,34,27,25,34,35,155
NJ:_Salem_County,4,2,3,4,7,20
NJ:_Somerset_County,20,30,18,18,28,114
NJ:_Sussex_County,18,14,7,6,9,54
NJ:_Union_County,34,34,23,36,37,164
NJ:_Warren_County,9,7,6,7,11,40
NM:_Bernalillo_County,24,25,36,30,32,147
NM:_Catron_County,0,0,0,0,0,0
NM:_Chaves_County,2,0,3,1,9,15
NM:_Colfax_County,0,0,0,3,1,4
NM:_Curry_County,2,2,1,4,3,12
NM:_De_Baca_County,0,0,0,0,0,0
NM:_Dona_Ana_County,11,13,13,8,14,59
NM:_Eddy_County,4,2,1,3,1,11
NM:_Grant_County,4,3,0,0,0,7
NM:_Guadalupe_County,0,0,0,0,1,1
NM:_Harding_County,0,0,0,1,0,1
NM:_Hidalgo_County,0,0,0,0,1,1
NM:_Lea_County,6,2,1,4,5,18
NM:_Lincoln_County,0,0,2,1,1,4
NM:_Los_Alamos_County,2,0,4,1,0,7
NM:_Luna_County,0,1,2,0,2,5
NM:_McKinley_County,2,0,1,1,1,5
NM:_Mora_County,0,0,0,0,0,0
NM:_Otero_County,6,2,4,0,0,12
NM:_Quay_County,0,0,2,0,2,4
NM:_Rio_Arriba_County,3,1,1,1,3,9
NM:_Roosevelt_County,1,1,3,0,1,6
NM:_Sandoval_County,4,3,5,2,6,20
NM:_San_Juan_County,6,3,5,2,3,19
NM:_San_Miguel_County,0,2,0,1,2,5
NM:_Santa_Fe_County,5,8,7,5,18,43
NM:_Sierra_County,1,1,1,2,1,6
NM:_Socorro_County,1,1,0,1,0,3
NM:_Taos_County,1,5,1,2,3,12
NM:_Torrance_County,1,2,1,0,2,6
NM:_Union_County,0,1,0,0,0,1
NM:_CibolaValencia,5,6,3,8,7,29
NM:_Cibola_County,2,3,1,0,3,9
NM:_Valencia_County,3,3,2,8,4,20
NY:_Albany_County,19,24,20,20,17,100
NY:_Allegany_County,2,2,4,2,3,13
NY:_Bronx_County,51,44,55,62,56,268
NY:_Broome_County,18,20,12,12,19,81
NY:_Cattaraugus_County,9,4,12,12,6,43
NY:_Cayuga_County,5,7,7,5,3,27
NY:_Chautauqua_County,10,5,10,10,10,45
NY:_Chemung_County,7,5,11,13,5,41
NY:_Chenango_County,2,1,2,5,5,15
NY:_Clinton_County,8,6,6,3,9,32
NY:_Columbia_County,7,3,5,3,6,24
NY:_Cortland_County,4,2,3,1,3,13
NY:_Delaware_County,3,2,3,2,6,16
NY:_Dutchess_County,21,25,14,17,22,99
NY:_Erie_County,74,81,81,69,75,380
NY:_Essex_County,4,4,0,3,1,12
NY:_Franklin_County,2,5,5,5,3,20
NY:_Fulton_County,5,3,3,6,3,20
NY:_Genesee_County,8,9,5,2,2,26
NY:_Greene_County,3,3,3,4,2,15
NY:_Hamilton_County,1,0,1,1,0,3
NY:_Herkimer_County,4,3,5,6,4,22
NY:_Jefferson_County,7,4,5,7,9,32
NY:_Kings_County,130,147,122,130,121,650
NY:_Lewis_County,2,2,2,1,2,9
NY:_Livingston_County,4,5,5,1,1,16
NY:_Madison_County,3,3,8,5,6,25
NY:_Monroe_County,59,57,50,62,46,274
NY:_Montgomery_County,6,3,1,5,5,20
NY:_Nassau_County,90,104,95,92,100,481
NY:_New_York_County,106,97,96,105,109,513
NY:_Niagara_County,17,14,17,19,17,84
NY:_Oneida_County,24,22,18,11,15,90
NY:_Onondaga_County,31,29,37,34,30,161
NY:_Ontario_County,6,8,4,10,11,39
NY:_Orange_County,27,22,24,21,24,118
NY:_Orleans_County,3,3,2,3,4,15
NY:_Oswego_County,10,9,9,5,10,43
NY:_Otsego_County,4,1,5,3,7,20
NY:_Putnam_County,3,6,8,4,7,28
NY:_Queens_County,138,103,134,99,119,593
NY:_Rensselaer_County,14,10,6,14,15,59
NY:_Richmond_County,28,32,27,23,24,134
NY:_Rockland_County,25,24,17,21,17,104
NY:_St_Lawrence_County,8,10,3,8,7,36
NY:_Saratoga_County,14,15,8,16,13,66
NY:_Schenectady_County,8,16,12,10,9,55
NY:_Schoharie_County,1,3,3,1,1,9
NY:_Schuyler_County,1,0,2,2,0,5
NY:_Seneca_County,3,0,2,3,2,10
NY:_Steuben_County,7,5,13,8,11,44
NY:_Suffolk_County,109,109,122,117,103,560
NY:_Sullivan_County,15,5,4,7,5,36
NY:_Tioga_County,4,6,7,3,2,22
NY:_Tompkins_County,6,5,6,7,1,25
NY:_Ulster_County,11,7,18,13,19,68
NY:_Warren_County,2,3,9,5,5,24
NY:_Washington_County,7,0,4,6,8,25
NY:_Wayne_County,6,3,3,8,9,29
NY:_Westchester_County,68,69,70,68,68,343
NY:_Wyoming_County,3,8,0,1,3,15
NY:_Yates_County,3,3,4,2,2,14
TX:_Anderson_County,1,5,2,7,4,19
TX:_Andrews_County,0,0,3,0,0,3
TX:_Angelina_County,14,5,11,3,10,43
TX:_Aransas_County,1,2,0,4,1,8
TX:_Archer_County,0,0,0,1,0,1
TX:_Armstrong_County,0,0,0,0,1,1
TX:_Atascosa_County,1,0,1,2,3,7
TX:_Austin_County,2,1,2,2,3,10
TX:_Bailey_County,1,1,0,2,0,4
TX:_Bandera_County,4,3,3,1,0,11
TX:_Bastrop_County,3,3,4,8,3,21
TX:_Baylor_County,1,2,1,1,0,5
TX:_Bee_County,0,1,0,0,0,1
TX:_Bell_County,13,16,9,23,16,77
TX:_Bexar_County,88,83,70,82,90,413
TX:_Blanco_County,1,0,1,0,0,2
TX:_Borden_County,0,0,0,1,0,1
TX:_Bosque_County,1,1,0,1,0,3
TX:_Bowie_County,1,7,4,3,8,23
TX:_Brazoria_County,16,14,20,10,12,72
TX:_Brazos_County,7,7,7,7,11,39
TX:_Brewster_County,0,0,0,0,1,1
TX:_Briscoe_County,0,0,0,0,0,0
TX:_Brooks_County,0,1,1,0,0,2
TX:_Brown_County,3,7,1,3,4,18
TX:_Burleson_County,0,1,1,0,0,2
TX:_Burnet_County,6,3,2,2,1,14
TX:_Caldwell_County,3,3,4,0,1,11
TX:_Calhoun_County,1,0,0,3,2,6
TX:_Callahan_County,3,1,1,1,0,6
TX:_Cameron_County,16,12,14,19,19,80
TX:_Camp_County,1,0,1,2,0,4
TX:_Carson_County,0,1,0,0,0,1
TX:_Cass_County,0,1,1,5,0,7
TX:_Castro_County,0,0,1,1,0,2
TX:_Chambers_County,0,0,3,2,4,9
TX:_Cherokee_County,5,4,2,3,2,16
TX:_Childress_County,0,0,0,0,0,0
TX:_Clay_County,2,1,0,2,0,5
TX:_Cochran_County,0,0,0,0,1,1
TX:_Coke_County,1,0,0,0,0,1
TX:_Coleman_County,3,0,0,1,0,4
TX:_Collin_County,40,38,34,35,40,187
TX:_Collingsworth_County,0,0,1,0,1,2
TX:_Colorado_County,1,2,0,1,1,5
TX:_Comal_County,5,5,8,5,9,32
TX:_Comanche_County,1,1,1,0,1,4
TX:_Concho_County,0,0,0,0,0,0
TX:_Cooke_County,1,1,3,1,0,6
TX:_Coryell_County,7,4,2,4,2,19
TX:_Cottle_County,0,0,0,0,0,0
TX:_Crane_County,0,0,0,0,0,0
TX:_Crockett_County,0,0,0,1,0,1
TX:_Crosby_County,0,0,0,2,0,2
TX:_Culberson_County,0,1,0,0,0,1
TX:_Dallam_County,0,0,0,0,0,0
TX:_Dallas_County,120,128,109,115,109,581
TX:_Dawson_County,0,2,3,0,3,8
TX:_Deaf_Smith_County,1,1,0,1,0,3
TX:_Delta_County,0,0,1,1,0,2
TX:_Denton_County,30,33,31,19,31,144
TX:_DeWitt_County,0,0,1,1,2,4
TX:_Dickens_County,1,1,0,0,0,2
TX:_Dimmit_County,1,0,3,0,0,4
TX:_Donley_County,0,0,0,0,0,0
TX:_Duval_County,2,0,0,1,0,3
TX:_Eastland_County,1,0,3,2,0,6
TX:_Ector_County,8,10,8,9,6,41
TX:_Edwards_County,0,0,0,0,0,0
TX:_Ellis_County,8,7,9,1,3,28
TX:_El_Paso_County,34,40,34,42,29,179
TX:_Erath_County,1,2,3,2,1,9
TX:_Falls_County,0,0,1,1,0,2
TX:_Fannin_County,1,4,0,3,2,10
TX:_Fayette_County,0,0,0,4,3,7
TX:_Fisher_County,1,0,0,1,1,3
TX:_Floyd_County,0,3,0,0,2,5
TX:_Foard_County,0,1,0,0,0,1
TX:_Fort_Bend_County,18,23,22,24,18,105
TX:_Franklin_County,0,0,1,0,2,3
TX:_Freestone_County,2,1,1,0,0,4
TX:_Frio_County,0,1,1,2,0,4
TX:_Gaines_County,1,0,1,2,1,5
TX:_Galveston_County,16,13,9,14,16,68
TX:_Garza_County,1,1,0,0,0,2
TX:_Gillespie_County,2,3,0,0,3,8
TX:_Glasscock_County,0,0,0,0,0,0
TX:_Goliad_County,0,0,1,0,0,1
TX:_Gonzales_County,2,1,1,2,3,9
TX:_Gray_County,3,1,1,2,2,9
TX:_Grayson_County,10,7,8,9,16,50
TX:_Gregg_County,6,9,9,12,6,42
TX:_Grimes_County,0,1,1,0,1,3
TX:_Guadalupe_County,5,3,5,6,8,27
TX:_Hale_County,4,0,2,1,5,12
TX:_Hall_County,1,0,1,0,0,2
TX:_Hamilton_County,2,2,1,2,1,8
TX:_Hansford_County,1,1,1,0,0,3
TX:_Hardeman_County,0,1,0,1,1,3
TX:_Hardin_County,2,3,1,1,9,16
TX:_Harris_County,186,186,209,205,177,963
TX:_Harrison_County,3,3,3,2,5,16
TX:_Hartley_County,0,0,0,0,0,0
TX:_Haskell_County,0,2,1,0,0,3
TX:_Hays_County,5,2,3,6,8,24
TX:_Hemphill_County,0,0,0,0,0,0
TX:_Henderson_County,3,1,4,7,9,24
TX:_Hidalgo_County,23,30,28,34,33,148
TX:_Hill_County,2,2,3,3,2,12
TX:_Hockley_County,1,2,0,2,1,6
TX:_Hood_County,4,7,4,3,2,20
TX:_Hopkins_County,5,2,3,4,3,17
TX:_Houston_County,1,3,4,1,1,10
TX:_Howard_County,3,0,5,2,0,10
TX:_Hudspeth_County,0,0,0,1,1,2
TX:_Hunt_County,3,7,3,3,5,21
TX:_Hutchinson_County,0,5,2,1,1,9
TX:_Irion_County,0,0,0,0,0,0
TX:_Jack_County,0,0,0,1,0,1
TX:_Jackson_County,0,2,0,2,1,5
TX:_Jasper_County,0,3,3,1,3,10
TX:_Jeff_Davis_County,0,0,0,0,0,0
TX:_Jefferson_County,8,12,23,18,19,80
TX:_Jim_Hogg_County,0,1,0,0,0,1
TX:_Jim_Wells_County,0,2,2,1,4,9
TX:_Johnson_County,11,10,15,13,15,64
TX:_Jones_County,0,2,0,2,0,4
TX:_Karnes_County,0,2,1,1,1,5
TX:_Kaufman_County,6,9,6,3,9,33
TX:_Kendall_County,1,5,2,2,3,13
TX:_Kenedy_County,0,0,0,0,0,0
TX:_Kent_County,0,1,0,0,0,1
TX:_Kerr_County,3,2,6,4,1,16
TX:_Kimble_County,0,0,1,0,0,1
TX:_King_County,0,0,0,0,0,0
TX:_Kinney_County,0,0,1,0,0,1
TX:_Kleberg_County,3,0,2,1,2,8
TX:_Knox_County,0,0,1,0,0,1
TX:_Lamar_County,7,4,6,2,3,22
TX:_Lamb_County,0,1,0,0,2,3
TX:_Lampasas_County,3,1,2,1,2,9
TX:_La_Salle_County,1,0,0,0,0,1
TX:_Lavaca_County,3,1,2,4,2,12
TX:_Lee_County,2,0,1,1,4,8
TX:_Leon_County,2,0,1,1,1,5
TX:_Liberty_County,3,2,3,1,3,12
TX:_Limestone_County,0,1,2,2,1,6
TX:_Lipscomb_County,0,0,0,1,0,1
TX:_Live_Oak_County,1,0,0,1,1,3
TX:_Llano_County,2,5,2,2,3,14
TX:_Loving_County,0,0,0,0,0,0
TX:_Lubbock_County,12,16,19,24,17,88
TX:_Lynn_County,1,0,0,1,1,3
TX:_McCulloch_County,0,0,1,0,1,2
TX:_McLennan_County,12,13,7,11,12,55
TX:_McMullen_County,0,0,0,0,0,0
TX:_Madison_County,0,1,0,1,0,2
TX:_Marion_County,0,0,1,0,1,2
TX:_Martin_County,0,0,1,0,1,2
TX:_Mason_County,0,0,0,0,0,0
TX:_Matagorda_County,1,1,2,1,3,8
TX:_Maverick_County,1,1,4,1,4,11
TX:_Medina_County,0,2,2,5,3,12
TX:_Menard_County,0,0,0,0,0,0
TX:_Midland_County,8,1,7,5,9,30
TX:_Milam_County,3,0,4,1,1,9
TX:_Mills_County,0,1,1,0,0,2
TX:_Mitchell_County,0,0,1,1,0,2
TX:_Montague_County,0,2,1,3,0,6
TX:_Montgomery_County,11,23,22,23,30,109
TX:_Moore_County,1,2,2,2,0,7
TX:_Morris_County,2,1,0,0,0,3
TX:_Motley_County,0,0,0,0,0,0
TX:_Nacogdoches_County,0,6,4,3,6,19
TX:_Navarro_County,4,1,4,3,5,17
TX:_Newton_County,0,0,0,1,1,2
TX:_Nolan_County,0,2,4,1,2,9
TX:_Nueces_County,22,19,19,27,21,108
TX:_Ochiltree_County,2,0,1,0,1,4
TX:_Oldham_County,0,0,0,0,1,1
TX:_Orange_County,10,8,7,9,3,37
TX:_Palo_Pinto_County,3,2,1,1,3,10
TX:_Panola_County,1,2,3,3,2,11
TX:_Parker_County,6,9,5,7,9,36
TX:_Parmer_County,0,0,0,1,0,1
TX:_Pecos_County,0,2,2,0,1,5
TX:_Polk_County,4,4,8,6,5,27
TX:_Potter_County,5,9,9,6,9,38
TX:_Presidio_County,1,1,2,2,0,6
TX:_Rains_County,1,0,0,0,1,2
TX:_Randall_County,15,7,3,8,12,45
TX:_Reagan_County,0,0,0,0,0,0
TX:_Real_County,0,1,0,0,0,1
TX:_Red_River_County,1,1,1,1,0,4
TX:_Reeves_County,2,1,1,0,0,4
TX:_Refugio_County,1,0,0,0,0,1
TX:_Roberts_County,0,0,0,1,0,1
TX:_Robertson_County,2,0,1,0,1,4
TX:_Rockwall_County,4,3,4,4,3,18
TX:_Runnels_County,1,0,2,0,1,4
TX:_Rusk_County,2,2,1,5,5,15
TX:_Sabine_County,0,0,1,1,0,2
TX:_San_Augustine_County,0,1,0,4,1,6
TX:_San_Jacinto_County,0,0,4,2,1,7
TX:_San_Patricio_County,4,5,6,6,3,24
TX:_San_Saba_County,1,1,1,0,1,4
TX:_Schleicher_County,0,0,0,0,0,0
TX:_Scurry_County,0,3,2,0,2,7
TX:_Shackelford_County,0,0,0,1,0,1
TX:_Shelby_County,0,0,3,1,2,6
TX:_Sherman_County,0,0,0,0,0,0
TX:_Smith_County,13,22,15,10,9,69
TX:_Somervell_County,1,0,0,1,1,3
TX:_Starr_County,5,2,4,3,2,16
TX:_Stephens_County,1,0,1,0,2,4
TX:_Sterling_County,0,1,0,1,0,2
TX:_Stonewall_County,0,0,0,0,0,0
TX:_Sutton_County,0,1,0,0,1,2
TX:_Swisher_County,1,0,2,0,2,5
TX:_Tarrant_County,87,77,93,90,100,447
TX:_Taylor_County,11,8,8,11,3,41
TX:_Terrell_County,0,0,0,1,0,1
TX:_Terry_County,0,1,0,1,1,3
TX:_Throckmorton_County,0,0,0,0,0,0
TX:_Titus_County,0,2,0,1,2,5
TX:_Tom_Green_County,6,4,14,11,5,40
TX:_Travis_County,35,40,45,51,47,218
TX:_Trinity_County,0,0,2,2,2,6
TX:_Tyler_County,0,0,1,1,1,3
TX:_Upshur_County,6,1,7,3,3,20
TX:_Upton_County,1,0,0,0,0,1
TX:_Uvalde_County,2,2,2,0,3,9
TX:_Val_Verde_County,2,4,2,0,3,11
TX:_Van_Zandt_County,2,4,3,2,3,14
TX:_Victoria_County,8,8,3,8,4,31
TX:_Walker_County,5,3,5,4,2,19
TX:_Waller_County,2,0,1,1,1,5
TX:_Ward_County,0,1,0,1,0,2
TX:_Washington_County,0,3,2,2,1,8
TX:_Webb_County,11,9,11,12,12,55
TX:_Wharton_County,4,2,1,4,1,12
TX:_Wheeler_County,0,1,1,0,1,3
TX:_Wichita_County,8,10,8,6,4,36
TX:_Wilbarger_County,1,1,0,0,1,3
TX:_Willacy_County,0,2,0,1,1,4
TX:_Williamson_County,17,21,12,20,17,87
TX:_Wilson_County,5,1,3,1,2,12
TX:_Winkler_County,0,0,0,0,0,0
TX:_Wise_County,3,2,3,3,4,15
TX:_Wood_County,2,4,2,2,6,16
TX:_Yoakum_County,0,0,1,0,0,1
TX:_Young_County,1,0,0,0,2,3
TX:_Zapata_County,0,1,1,0,0,2
TX:_Zavala_County,0,0,0,0,0,0
UT:_Beaver_County,0,1,0,0,1,2
UT:_Box_Elder_County,4,1,12,3,4,24
UT:_Cache_County,5,7,8,6,3,29
UT:_Carbon_County,3,0,2,2,0,7
UT:_Daggett_County,0,0,0,0,0,0
UT:_Davis_County,10,15,15,12,24,76
UT:_Duchesne_County,0,2,0,2,0,4
UT:_Emery_County,1,1,0,0,2,4
UT:_Garfield_County,0,0,0,1,0,1
UT:_Grand_County,1,1,0,0,0,2
UT:_Iron_County,1,0,3,3,1,8
UT:_Juab_County,1,0,0,1,0,2
UT:_Kane_County,3,0,0,1,0,4
UT:_Millard_County,1,1,1,0,0,3
UT:_Morgan_County,0,0,1,3,0,4
UT:_Piute_County,0,0,0,0,0,0
UT:_Rich_County,0,1,0,0,0,1
UT:_Salt_Lake_County,55,53,42,50,53,253
UT:_San_Juan_County,1,0,0,0,1,2
UT:_Sanpete_County,0,0,1,0,0,1
UT:_Sevier_County,1,2,0,3,2,8
UT:_Summit_County,3,0,3,1,1,8
UT:_Tooele_County,2,0,2,2,2,8
UT:_Uintah_County,2,2,1,2,1,8
UT:_Utah_County,15,22,26,19,23,105
UT:_Wasatch_County,0,2,1,0,0,3
UT:_Washington_County,4,3,5,13,13,38
UT:_Wayne_County,0,0,0,0,0,0
UT:_Weber_County,12,12,13,9,14,60
WA:_Clallam_County,2,7,10,6,8,33
WA:_Grays_Harbor_County,5,10,5,9,4,33
WA:_Island_County,6,8,6,3,4,27
WA:_Jefferson_County,4,3,7,6,3,23
WA:_King_County,102,96,109,150,127,584
WA:_Kitsap_County,17,16,13,14,14,74
WA:_Mason_County,5,3,2,1,4,15
WA:_Pierce_County,32,47,52,45,51,227
WA:_San_Juan_County,1,2,3,2,3,11
WA:_Skagit_County,12,5,11,9,8,45
WA:_Snohomish_County,56,46,45,44,48,239
WA:_Thurston_County,18,18,12,16,29,93
WA:_Whatcom_County,20,11,12,12,12,67
